第七篇 第四十六章 帝京城的慌乱,2853,2018-02-24 01:37:59
第七篇 第四十七章 寂寞,3052,2018-02-24 15:25:20
第七篇 第四十八章 破碎虚空？,3030,2018-02-25 02:36:56
第七篇 第四十九章 代价,2879,2018-02-25 14:42:46
第七篇 第五十章 大战过后,3356,2018-02-26 02:35:43
第七篇 第五十一章 孟欢,3069,2018-02-27 02:05:47
第七篇 第五十二章 天上地下，谁都救不了你！,3231,2018-02-27 14:48:05
第七篇 第五十三章 第二次入道（上）,2685,2018-02-28 03:14:31
第七篇 第五十四章 第二次入道（下）,2345,2018-02-28 16:24:44
第七篇 第五十五章 战书,2581,2018-03-01 03:00:10
第七篇 第五十六章 三月初九，归泽山,2863,2018-03-01 16:54:36
第七篇 第五十七章 神仙手段,2939,2018-03-02 01:07:28
第七篇 第五十八章 天罚降临,2612,2018-03-02 16:00:39
第七篇 第五十九章 飞升,2976,2018-03-03 16:39:39
第七篇 第六十章 归来，苏醒,2427,2018-03-04 02:53:18
第七篇 第六十一章 布局千年,2456,2018-03-04 16:57:31
第七篇 第六十二章 最终入道？,2778,2018-03-05 03:48:34
第七篇 第六十三章 驱虎吞狼,3166,2018-03-05 18:19:15
第七篇 第六十四章 进入洞天,2552,2018-03-06 03:18:01
第七篇 第六十五章 域外黄蛟,2564,2018-03-06 16:57:44
第七篇 第六十六章 相遇,2711,2018-03-07 17:44:45
第七篇 第六十七章 炼剑成丝，虚空留痕！,2910,2018-03-08 00:25:18
第七篇 第六十八章 黄蛟的三件藏宝,3032,2018-03-08 14:45:38
第七篇 第六十九章 你这老黑龙也来了？,2690,2018-03-09 00:46:53
第七篇 第七十章 蛟龙王之死,3131,2018-03-09 18:21:27
第七篇 第七十一章 剑道之基,2378,2018-03-10 18:21:46
第七篇 第七十二章 谁杀的？（本篇终）,2971,2018-03-11 02:34:24
第八篇 灾劫 第一章 危机,2588,2018-03-12 22:41:36
第八篇 灾劫 第二章 宝光惊人,2789,2018-03-13 02:39:15
第八篇 第三章 一锅端,2659,2018-03-14 00:41:58
第八篇 第四章 功德无量,2550,2018-03-14 02:04:54
第八篇 第五章 广凌城外,2529,2018-03-15 01:06:33
第八篇 第六章 秦云战域外魔神,2616,2018-03-15 02:52:24
第八篇 第七章 相见欢，离别苦,2530,2018-03-16 02:06:38
第八篇 第八章 张祖师的痛惜,2818,2018-03-17 02:40:12
第八篇 第九章 超品本命飞剑,2508,2018-03-17 04:05:07
第八篇 第十章 护法神将,2364,2018-03-18 03:11:16
第八篇 第十一章 龙王的宝物,2238,2018-03-19 01:33:07
第八篇 第十二章 嘱托,2176,2018-03-19 02:05:37
第八篇 第十三章 域外魔神,2077,2018-03-19 04:35:23
第八篇 第十四章 巡天鉴震动,2051,2018-03-19 04:52:27
第八篇 第十五章 转世仙人们,2509,2018-03-22 13:13:36
第八篇 第十六章 召唤秦云,3036,2018-03-22 20:55:00
第八篇 第十七章 出手,2651,2018-03-23 13:05:11
第八篇 第十八章 逃逃逃,2813,2018-03-24 00:08:52
第八篇 第十九章 解决祸患,2623,2018-03-24 13:44:51
第八篇 第二十章 封侯,2615,2018-03-25 02:01:12
第八篇 第二十一章 八方来贺,2559,2018-03-25 14:57:27
第八篇 第二十二章 龙族的来历,2689,2018-03-26 02:49:34
第八篇 第二十三章 代价,2737,2018-03-26 15:14:34
第八篇 第二十四章 喜事,2585,2018-03-27 02:22:12
第八篇 第二十五章 虚空挪移,2215,2018-03-27 19:18:14
第八篇 第二十六章 这就是代价！,3232,2018-03-27 19:21:26
第八篇 第二十七章 她一定活着,2907,2018-03-29 00:35:44
第八篇 第二十八章 金仙,2543,2018-03-29 03:32:36
第八篇 第二十九章 祖龙境存在‘蒲曲龙君’,2593,2018-03-30 02:36:17
第八篇 第三十章 秦云的三条路,2462,2018-03-31 02:02:02
第八篇 第三十一章 行走天下（本篇终）,2134,2018-03-31 04:01:11
第九篇 红尘剑仙 第一章 十五年后,2113,2018-04-01 11:58:02
第九篇 红尘剑仙 第二章 褚老太爷,2506,2018-04-02 02:31:56
第九篇 红尘剑仙 第三章 半年为期,2502,2018-04-03 02:02:42
第九篇 红尘剑仙 第四章 英雄？,2803,2018-04-04 03:05:20
第九篇 第五章 狐妖,2280,2018-04-04 22:30:50
第九篇 第六章 你想多了,2353,2018-04-04 22:35:27
第九篇 第七章 因果线,2700,2018-04-06 01:54:37
第九篇 第八章 柳暗花明,3168,2018-04-07 02:48:04
第九篇 第九章 终于出现了！,2266,2018-04-08 02:52:29
第九篇 第十章 云秀仙人的宝藏,2419,2018-04-09 03:37:02
第九篇 第十一章 大巫尸体？,2293,2018-04-10 00:11:03
第九篇 第十二章 如梦剑,2456,2018-04-10 02:53:58
第九篇 第十三章 擒拿,2321,2018-04-11 02:33:23
第九篇 第十四章 有情人,3104,2018-04-11 04:03:29
第九篇 第十五章 帝君神甲,2146,2018-04-12 02:44:59
第九篇 第十六章 大滁世界,2382,2018-04-13 02:46:29
第九篇 第十七章 定计,2502,2018-04-14 00:44:38
第九篇 第十八章 降临大滁世界,2465,2018-04-14 03:33:56
第九篇 第十九章 跳板,2470,2018-04-15 01:44:36
第九篇 第二十章 魅青姑娘,2581,2018-04-16 02:41:45
第九篇 第二十一章 瞧他不顺眼,2582,2018-04-16 04:12:02
第九篇 第二十二章 万象殿的再度邀请,3253,2018-04-17 02:42:49
第九篇 第二十三章 离去,2679,2018-04-18 02:40:20
第九篇 第二十四章 贪桐家族,2860,2018-04-18 11:30:00
第九篇 第二十五章 一念灭绝,2313,2018-04-19 03:05:43
第九篇 第二十六章 斩杀魔神,2653,2018-04-19 22:28:08
第九篇 第二十七章 最后一件法宝手套,2287,2018-04-21 01:18:12
第九篇 第二十八章 无力,2915,2018-04-22 01:11:21
第九篇 第二十九章 一年时间,2171,2018-04-23 01:41:02
第九篇 第三十章 凑齐,2479,2018-04-24 02:24:42
第九篇 第三十一章 域外道家一脉,3360,2018-04-25 02:31:54
第九篇 第三十二章 路过一个世界,2732,2018-04-26 01:59:43
第九篇 第三十三章 我终于找到你了！,2700,2018-04-27 02:10:58
第九篇 第三十四章 神仙神仙，我答应你,2515,2018-04-28 03:03:36
第九篇 第三十五章 大昌世界，我来了！,2583,2018-04-29 01:51:11
第九篇 第三十六章 女儿,2460,2018-04-30 02:24:51
第九篇 第三十七章 审问贺谦,2721,2018-05-01 02:16:35
第九篇 第三十八章 又是一年,2265,2018-05-02 01:27:13
第九篇 第三十九章 大世界,2234,2018-05-03 03:22:52
第九篇 第四十章 出发，明耀大世界（本篇终）,3552,2018-05-04 02:02:05
第十篇 天仙境 第一章 试炼弟子们,2566,2018-05-05 02:57:44
第十篇 天仙境 第二章 古虞界内,2435,2018-05-06 03:42:28
第十篇 天仙境 第三章 聪明选择,2559,2018-05-07 02:18:54
